START,Time,,Upstream Pressure,,Downstream Pressure
DATA,2.37,PT_EU,-15.396,PT_ED,-3.177
DATA,2.38,PT_EU,-6.843,PT_ED,-10.508
DATA,2.38,PT_EU,1.711,PT_ED,-17.84
DATA,2.39,PT_EU,-32.502,PT_ED,-4.399
DATA,2.4,PT_EU,-23.949,PT_ED,-16.618
DATA,2.4,PT_EU,-30.059,PT_ED,-20.283
DATA,2.41,PT_EU,-32.502,PT_ED,2.933
DATA,2.42,PT_EU,-21.505,PT_ED,-17.84
DATA,2.42,PT_EU,-10.508,PT_ED,-3.177
DATA,2.43,PT_EU,1.711,PT_ED,6.598
DATA,2.44,PT_EU,2.933,PT_ED,4.154
DATA,2.44,PT_EU,5.376,PT_ED,6.598
DATA,2.45,PT_EU,2.933,PT_ED,4.154
DATA,2.45,PT_EU,2.933,PT_ED,6.598
DATA,2.46,PT_EU,0.489,PT_ED,5.376
DATA,2.46,PT_EU,2.933,PT_ED,4.154
DATA,2.47,PT_EU,4.154,PT_ED,5.376
DATA,2.48,PT_EU,-4.399,PT_ED,6.598
DATA,2.48,PT_EU,2.933,PT_ED,5.376
DATA,2.49,PT_EU,0.489,PT_ED,4.154
DATA,2.49,PT_EU,1.711,PT_ED,5.376
DATA,2.5,PT_EU,1.711,PT_ED,6.598
DATA,2.51,PT_EU,1.711,PT_ED,6.598
DATA,2.51,PT_EU,1.711,PT_ED,7.82
DATA,2.52,PT_EU,4.154,PT_ED,5.376
DATA,2.53,PT_EU,2.933,PT_ED,-3.177
DATA,2.54,PT_EU,2.933,PT_ED,-1.955
DATA,2.59,PT_EU,-8.065,PT_ED,5.376
DATA,2.64,PT_EU,-5.621,PT_ED,-21.505
DATA,2.69,PT_EU,2.933,PT_ED,5.376
DATA,2.74,PT_EU,4.154,PT_ED,6.598
DATA,2.79,PT_EU,-11.73,PT_ED,5.376
DATA,2.84,PT_EU,2.933,PT_ED,5.376
DATA,2.89,PT_EU,1.711,PT_ED,-3.177
DATA,2.94,PT_EU,2.933,PT_ED,6.598
DATA,2.99,PT_EU,2.933,PT_ED,-0.733
DATA,3.04,PT_EU,0.489,PT_ED,5.376
DATA,3.09,PT_EU,1.711,PT_ED,2.933
DATA,3.14,PT_EU,-37.39,PT_ED,-1.955
DATA,3.19,PT_EU,2.933,PT_ED,-0.733
DATA,3.24,PT_EU,-4.399,PT_ED,6.598
DATA,3.29,PT_EU,2.933,PT_ED,-0.733
DATA,3.34,PT_EU,-0.733,PT_ED,4.154
DATA,3.39,PT_EU,-1.955,PT_ED,-5.621
DATA,3.44,PT_EU,1.711,PT_ED,4.154
DATA,3.49,PT_EU,-12.952,PT_ED,5.376
DATA,3.54,PT_EU,-11.73,PT_ED,-0.733
DATA,3.59,PT_EU,1.711,PT_ED,6.598
DATA,3.64,PT_EU,4.154,PT_ED,5.376
DATA,3.69,PT_EU,-11.73,PT_ED,-0.733
DATA,3.74,PT_EU,4.154,PT_ED,5.376
DATA,3.79,PT_EU,-9.286,PT_ED,4.154
DATA,3.84,PT_EU,2.933,PT_ED,6.598
DATA,3.89,PT_EU,0.489,PT_ED,4.154
DATA,3.94,PT_EU,-10.508,PT_ED,-16.618
DATA,3.99,PT_EU,0.489,PT_ED,-0.733
DATA,4.04,PT_EU,1.711,PT_ED,-1.955
DATA,4.09,PT_EU,2.933,PT_ED,5.376
DATA,4.14,PT_EU,0.489,PT_ED,5.376
DATA,4.19,PT_EU,1.711,PT_ED,6.598
DATA,4.24,PT_EU,1.711,PT_ED,4.154
DATA,4.29,PT_EU,-5.621,PT_ED,0.489
DATA,4.34,PT_EU,1.711,PT_ED,5.376
DATA,4.39,PT_EU,2.933,PT_ED,4.154
DATA,4.44,PT_EU,4.154,PT_ED,-5.621
DATA,4.49,PT_EU,-15.396,PT_ED,-1.955
DATA,4.54,PT_EU,1.711,PT_ED,-3.177
DATA,4.59,PT_EU,1.711,PT_ED,5.376
